 
Q54583918	CVCL_RY63
Q54583920	CVCL_RY68
Q54583922	CVCL_H361
Q54583924	CVCL_DR94
Q54583925	CVCL_H362
Q54583927	CVCL_H363
Q54583929	CVCL_KS32
Q54583930	CVCL_JZ01
Q54583932	CVCL_6352
Q54583933	CVCL_H364
Q54583934	CVCL_KS33
Q54583936	CVCL_J499
Q54583937	CVCL_H366
Q54583939	CVCL_H368
Q54583940	CVCL_JY88
Q54583942	CVCL_H369
Q54583943	CVCL_KA76
Q54584013	CVCL_H370
Q54584014	CVCL_Y384
Q54584015	CVCL_Y385
Q54584016	CVCL_Y386
Q54584017	CVCL_Y417
Q54584018	CVCL_Y387
Q54584020	CVCL_Y388
Q54584021	CVCL_Y389
Q54584024	CVCL_Y390
Q54584027	CVCL_Y391
Q54584028	CVCL_Y392
Q54584029	CVCL_Y393
Q54584031	CVCL_Y394
Q54584032	CVCL_Y395
Q54584033	CVCL_Y396
Q54584034	CVCL_Y397
Q54584035	CVCL_Y398
Q54584036	CVCL_Y399
Q54584037	CVCL_9V14
Q54584038	CVCL_Y101
Q54584041	CVCL_JY95
Q54584042	CVCL_H371
Q54584043	CVCL_H372
Q54584044	CVCL_Y400
Q54584045	CVCL_Y401
Q54584047	CVCL_Y402
Q54584049	CVCL_Y403
Q54584050	CVCL_Y404
Q54584052	CVCL_Y405
Q54584054	CVCL_Y406
Q54584057	CVCL_Y407
Q54584059	CVCL_Y408
Q54584060	CVCL_Y409
Q54584062	CVCL_KS34
Q54584065	CVCL_H373
Q54584066	CVCL_IM63
Q54584068	CVCL_IM64
Q54584072	CVCL_H374
Q54584073	CVCL_H375
Q54584076	CVCL_JY96
Q54584111	CVCL_KA64
Q54584112	CVCL_KA63
Q54584115	CVCL_L026
Q54584118	CVCL_6E37
Q54584119	CVCL_E072
Q54584121	CVCL_5F70
Q54584122	CVCL_5F71
Q54584124	CVCL_DD14
Q54584127	CVCL_DD15
Q54584129	CVCL_JZ09
Q54584130	CVCL_W338
Q54584131	CVCL_JZ10
Q54584135	CVCL_V648
Q54584136	CVCL_6E38
Q54584137	CVCL_0V13
Q54584138	CVCL_RU09
Q54584141	CVCL_1H20
Q54584142	CVCL_AU00
Q54584144	CVCL_LC70
Q54584145	CVCL_W645
Q54584146	CVCL_H376
Q54584147	CVCL_JZ02
Q54584148	CVCL_KS35
Q54584151	CVCL_H377
Q54584154	CVCL_LC69
Q54584155	CVCL_BT05
Q54584157	CVCL_AR71
Q54584159	CVCL_AR72
Q54584161	CVCL_9705
Q54584162	CVCL_1D85
Q54584164	CVCL_Y413
Q54584166	CVCL_Y410
Q54584168	CVCL_Y414
Q54584170	CVCL_Y411
Q54584172	CVCL_Y415
Q54584174	CVCL_Y412
Q54584176	CVCL_Y416
Q54584177	CVCL_Y381
Q54584180	CVCL_9557
Q54584183	CVCL_J924
Q54584269	CVCL_8999
Q54584271	CVCL_9000
Q54584272	CVCL_B522
Q54584275	CVCL_9001
Q54584277	CVCL_9002
Q54584279	CVCL_6353
Q54584281	CVCL_1930
Q54584283	CVCL_LI40
Q54584284	CVCL_U723
Q54584287	CVCL_J625
Q54584289	CVCL_J626
Q54584290	CVCL_U072
Q54584291	CVCL_0D71
Q54584294	CVCL_J627
